"","LOCALE","UGDS","ADM_RATE","C150_4","SAT_AVG","UGDS_BLACK","UGDS_WHITE","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","RELAFFIL","COSTT4_A","PCTPELL","PCTFLOAN","INSTNM"
"1",12,9,131,47,71,133,11,126,6,22,"30",64,116,130,"Albertus Magnus College"
"5",13,45,20,117,71,37,85,79,80,1,"-2",127,16,21,"Connecticut College"
"10",12,102,74,55,1,120,39,104,77,28,"-2",83,68,96,"University of Hartford"
"11",13,121,62,36,71,120,55,115,43,62,"-2",70,100,62,"Mitchell College"
"14",21,118,52,104,17,66,108,82,66,18,"-2",108,21,64,"Quinnipiac University"
"17",12,127,72,56,52,124,37,114,71,20,"-2",11,99,69,"Southern Connecticut State University"
"19",13,75,11,132,71,94,31,97,106,5,"-2",137,30,17,"Wesleyan University"
"20",13,106,21,27,66,114,58,128,79,15,"-2",27,79,48,"Western Connecticut State University"
"27",13,64,73,25,58,47,137,8,7,41,"NULL",35,114,112,"Husson University"
"28",32,89,131,2,71,5,133,7,5,65,"-2",1,133,63,"University of Maine at Augusta"
"38",41,129,79,29,71,39,102,14,3,33,"-2",49,82,43,"Thomas College"
"43",12,59,105,95,71,65,80,65,53,16,"30",84,48,110,"Assumption College"
"53",12,61,31,108,71,49,45,51,100,2,"-2",89,49,46,"Clark University"
"54",21,74,116,32,56,106,75,45,43,33,"-2",90,61,79,"Curry College"
"57",11,85,26,111,26,30,65,102,86,6,"-2",107,28,53,"Emerson College"
"61",22,91,76,67,2,98,98,94,56,5,"-2",7,97,101,"Fitchburg State University"
"62",13,95,40,51,4,102,100,92,68,14,"-2",25,78,81,"Framingham State University"
"69",21,8,39,60,20,82,61,88,105,14,"-2",28,75,54,"University of Massachusetts-Lowell"
"75",21,56,32,113,71,84,21,72,110,3,"-2",109,37,25,"Mount Holyoke College"
"77",21,132,64,14,71,135,8,123,95,9,"-2",63,132,131,"Newbury College"
"82",21,123,65,35,67,104,72,113,78,16,"-2",15,85,59,"Salem State University"
"83",11,27,29,87,23,83,66,53,108,17,"-2",103,59,107,"Simmons College"
"96",11,130,118,63,60,111,43,112,79,10,"-2",81,92,124,"Wheelock College"
"97",31,52,10,137,40,95,33,116,111,8,"-2",134,34,12,"Williams College"
"107",12,72,112,48,71,76,4,23,11,36,"-2",57,111,86,"Southern New Hampshire University"
"126",13,36,93,33,71,85,89,37,24,1,"-2",48,119,104,"Burlington College"
"132",33,12,129,19,53,46,124,31,4,56,"-2",14,80,51,"Lyndon State College"
"134",32,66,8,135,32,32,60,83,101,26,"-2",120,3,8,"Middlebury College"
"139",43,5,128,53,71,29,90,21,16,1,"-2",58,129,68,"Sterling College"
"142",32,141,131,141,71,137,141,136,125,69,"-2",139,141,144,"Antioch University-New England"
"146",13,141,131,141,71,137,141,136,125,69,"-2",139,141,144,"Institute for Doctoral Studies in the Visual Arts"
"147",11,50,131,141,71,123,13,99,87,23,"-2",139,20,15,"Northeastern University Global Network"
